starttime	seconds	ctime	dtime	ttime	wait
Sat Apr 22 17:30:41 2023	1682202641	81	10761	10842	1851
Sat Apr 22 17:30:23 2023	1682202623	81	10791	10872	1438
Sat Apr 22 17:31:05 2023	1682202665	85	10789	10874	7508
Sat Apr 22 17:30:37 2023	1682202637	58	10830	10888	4025
Sat Apr 22 17:30:00 2023	1682202600	57	10834	10891	6686
Sat Apr 22 17:30:23 2023	1682202623	65	10833	10898	1651
Sat Apr 22 17:30:53 2023	1682202653	75	10830	10905	4760
Sat Apr 22 17:30:27 2023	1682202627	275	10639	10914	5269
Sat Apr 22 17:31:09 2023	1682202669	82	10833	10915	5895
Sat Apr 22 17:30:41 2023	1682202641	67	10849	10916	2002
Sat Apr 22 17:30:02 2023	1682202602	67	10870	10936	5519
Sat Apr 22 17:30:21 2023	1682202621	61	10956	11017	1884
Sat Apr 22 17:31:06 2023	1682202666	80	10968	11048	6609
Sat Apr 22 17:30:30 2023	1682202630	63	11029	11092	6376
Sat Apr 22 17:30:52 2023	1682202652	61	11050	11111	2060
Sat Apr 22 17:30:52 2023	1682202652	65	11046	11111	1993
Sat Apr 22 17:30:42 2023	1682202642	62	11050	11113	4156
Sat Apr 22 17:30:19 2023	1682202619	60	11058	11118	2239
Sat Apr 22 17:30:42 2023	1682202642	253	10869	11122	3902
Sat Apr 22 17:30:52 2023	1682202652	60	11106	11166	1623
Sat Apr 22 17:30:35 2023	1682202635	60	11115	11176	3886
Sat Apr 22 17:30:30 2023	1682202630	63	11118	11182	5863
Sat Apr 22 17:30:40 2023	1682202640	61	11137	11198	2351
Sat Apr 22 17:30:40 2023	1682202640	67	11133	11201	2414
Sat Apr 22 17:30:40 2023	1682202640	66	11142	11207	2483
Sat Apr 22 17:30:47 2023	1682202647	80	11149	11229	723
Sat Apr 22 17:30:48 2023	1682202648	65	11197	11262	4311
Sat Apr 22 17:31:08 2023	1682202668	149	11168	11316	6310
Sat Apr 22 17:31:10 2023	1682202670	72	11265	11337	5673
Sat Apr 22 17:30:40 2023	1682202640	62	11287	11349	2704
Sat Apr 22 17:30:35 2023	1682202635	54	11298	11351	4256
Sat Apr 22 17:30:01 2023	1682202601	67	11309	11376	6541
Sat Apr 22 17:30:48 2023	1682202648	61	11334	11395	4616
Sat Apr 22 17:30:41 2023	1682202641	73	11340	11413	2585
Sat Apr 22 17:31:04 2023	1682202664	62	11361	11423	7597
Sat Apr 22 17:30:48 2023	1682202648	63	11367	11430	4551
Sat Apr 22 17:31:07 2023	1682202667	72	11382	11454	6628
Sat Apr 22 17:30:26 2023	1682202626	57	11422	11479	6282
Sat Apr 22 17:30:18 2023	1682202618	54	11485	11540	3066
Sat Apr 22 17:30:40 2023	1682202640	65	11519	11584	1094
Sat Apr 22 17:30:23 2023	1682202623	61	11560	11621	6540
Sat Apr 22 17:31:10 2023	1682202670	64	11558	11622	6641
Sat Apr 22 17:30:47 2023	1682202647	68	11575	11643	1822
Sat Apr 22 17:30:25 2023	1682202625	198	11446	11644	6083
Sat Apr 22 17:30:46 2023	1682202646	64	11599	11663	1422
Sat Apr 22 17:30:51 2023	1682202651	67	11640	11707	2225
Sat Apr 22 17:30:59 2023	1682202659	62	11654	11716	5858
Sat Apr 22 17:31:07 2023	1682202667	170	11554	11725	7019
Sat Apr 22 17:30:59 2023	1682202659	67	11664	11731	4816
Sat Apr 22 17:30:53 2023	1682202653	57	11695	11752	4700
Sat Apr 22 17:30:24 2023	1682202624	89	11663	11752	6363
Sat Apr 22 17:30:59 2023	1682202659	71	11726	11797	5838
Sat Apr 22 17:30:36 2023	1682202636	60	11819	11879	5003
Sat Apr 22 17:30:39 2023	1682202639	102	11783	11885	3512
Sat Apr 22 17:30:59 2023	1682202659	60	11842	11901	6110
Sat Apr 22 17:30:23 2023	1682202623	62	11843	11905	6386
Sat Apr 22 17:30:39 2023	1682202639	98	11845	11943	3413
Sat Apr 22 17:30:41 2023	1682202641	64	11882	11946	1429
Sat Apr 22 17:30:46 2023	1682202646	58	11902	11961	2210
Sat Apr 22 17:30:47 2023	1682202647	89	11872	11961	5281
Sat Apr 22 17:30:42 2023	1682202642	75	11897	11972	4546
Sat Apr 22 17:30:47 2023	1682202647	73	11904	11977	5372
Sat Apr 22 17:30:47 2023	1682202647	65	11922	11987	5447
Sat Apr 22 17:30:59 2023	1682202659	57	11941	11997	6083
Sat Apr 22 17:30:47 2023	1682202647	70	11930	12000	5516
Sat Apr 22 17:30:26 2023	1682202626	526	11537	12063	6469
Sat Apr 22 17:30:34 2023	1682202634	65	12003	12068	5068
Sat Apr 22 17:30:39 2023	1682202639	72	12024	12096	3988
Sat Apr 22 17:30:50 2023	1682202650	230	11868	12098	3036
Sat Apr 22 17:30:38 2023	1682202638	101	12004	12104	4117
Sat Apr 22 17:30:32 2023	1682202632	59	12047	12106	5446
Sat Apr 22 17:30:39 2023	1682202639	64	12103	12166	3924
Sat Apr 22 17:31:04 2023	1682202664	66	12146	12212	8932
Sat Apr 22 17:31:00 2023	1682202660	377	11845	12222	7127
Sat Apr 22 17:30:22 2023	1682202622	61	12206	12267	6843
Sat Apr 22 17:30:43 2023	1682202643	229	12042	12271	4299
Sat Apr 22 17:30:55 2023	1682202655	170	12104	12274	8441
Sat Apr 22 17:30:38 2023	1682202638	230	12060	12290	4702
Sat Apr 22 17:30:49 2023	1682202649	262	12036	12298	3267
Sat Apr 22 17:30:37 2023	1682202637	146	12208	12354	5081
Sat Apr 22 17:30:38 2023	1682202638	110	12254	12364	4431
Sat Apr 22 17:30:51 2023	1682202651	161	12214	12375	2217
Sat Apr 22 17:30:42 2023	1682202642	61	12343	12404	4766
Sat Apr 22 17:30:42 2023	1682202642	71	12340	12411	4694
Sat Apr 22 17:31:06 2023	1682202666	85	12412	12497	7774
Sat Apr 22 17:30:52 2023	1682202652	58	12439	12497	6650
Sat Apr 22 17:30:20 2023	1682202620	63	12467	12530	3810
Sat Apr 22 17:30:37 2023	1682202637	74	12478	12552	5613
Sat Apr 22 17:31:05 2023	1682202665	62	12502	12565	8256
Sat Apr 22 17:30:31 2023	1682202631	90	12588	12678	5830
Sat Apr 22 17:30:46 2023	1682202646	71	12620	12691	6270
Sat Apr 22 17:30:49 2023	1682202649	239	12563	12802	4148
Sat Apr 22 17:30:59 2023	1682202659	58	12777	12835	8118
Sat Apr 22 17:31:06 2023	1682202666	102	12769	12871	8071
Sat Apr 22 17:30:01 2023	1682202601	133	12752	12885	6249
Sat Apr 22 17:30:36 2023	1682202636	83	12813	12896	6289
Sat Apr 22 17:30:36 2023	1682202636	71	12871	12942	6216
Sat Apr 22 17:30:36 2023	1682202636	59	12909	12968	6157
Sat Apr 22 17:30:17 2023	1682202617	118	12884	13001	3945
Sat Apr 22 17:30:21 2023	1682202621	91	12931	13022	4131
Sat Apr 22 17:30:54 2023	1682202654	475	12573	13048	8980
Sat Apr 22 17:30:36 2023	1682202636	73	13006	13079	6633
Sat Apr 22 17:31:06 2023	1682202666	106	12984	13090	8214
Sat Apr 22 17:30:51 2023	1682202651	149	12961	13110	4172
Sat Apr 22 17:30:45 2023	1682202645	595	12657	13252	6409
Sat Apr 22 17:31:06 2023	1682202666	62	13191	13253	8397
Sat Apr 22 17:30:16 2023	1682202616	68	13226	13294	5169
Sat Apr 22 17:30:40 2023	1682202640	90	13214	13303	6428
Sat Apr 22 17:31:07 2023	1682202667	108	13215	13322	7878
Sat Apr 22 17:31:00 2023	1682202660	253	13077	13330	8226
Sat Apr 22 17:30:34 2023	1682202634	62	13325	13387	6527
Sat Apr 22 17:30:51 2023	1682202651	75	13429	13505	8692
Sat Apr 22 17:30:22 2023	1682202622	56	13457	13513	7972
Sat Apr 22 17:30:53 2023	1682202653	66	13462	13528	10039
Sat Apr 22 17:30:35 2023	1682202635	56	13474	13529	7339
Sat Apr 22 17:30:59 2023	1682202659	101	13437	13538	8839
Sat Apr 22 17:30:59 2023	1682202659	87	13481	13568	8941
Sat Apr 22 17:30:21 2023	1682202621	101	13477	13579	8148
Sat Apr 22 17:30:18 2023	1682202618	75	13531	13606	5036
Sat Apr 22 17:30:55 2023	1682202655	138	13485	13623	8716
Sat Apr 22 17:30:58 2023	1682202658	62	13581	13643	7531
Sat Apr 22 17:30:53 2023	1682202653	59	13595	13654	10243
Sat Apr 22 17:31:08 2023	1682202668	98	13594	13692	8074
Sat Apr 22 17:30:24 2023	1682202624	332	13385	13717	7680
Sat Apr 22 17:30:44 2023	1682202644	430	13292	13722	3298
Sat Apr 22 17:30:52 2023	1682202652	59	13674	13733	9505
Sat Apr 22 17:30:16 2023	1682202616	88	13690	13779	5077
Sat Apr 22 17:30:45 2023	1682202645	732	13165	13897	7005
Sat Apr 22 17:30:48 2023	1682202648	57	13937	13994	5655
Sat Apr 22 17:30:21 2023	1682202621	74	13966	14040	8387
Sat Apr 22 17:30:24 2023	1682202624	88	13971	14059	9559
Sat Apr 22 17:30:16 2023	1682202616	134	14006	14139	5067
Sat Apr 22 17:31:05 2023	1682202665	69	14079	14148	9506
Sat Apr 22 17:30:39 2023	1682202639	60	14256	14316	4866
Sat Apr 22 17:30:20 2023	1682202620	75	14260	14335	7463
Sat Apr 22 17:31:06 2023	1682202666	106	14274	14380	8674
Sat Apr 22 17:30:17 2023	1682202617	65	14384	14450	5887
Sat Apr 22 17:30:54 2023	1682202654	85	14405	14490	8203
Sat Apr 22 17:30:18 2023	1682202618	125	14374	14499	5823
Sat Apr 22 17:30:15 2023	1682202615	61	14506	14567	5826
Sat Apr 22 17:31:06 2023	1682202666	68	14500	14568	9415
Sat Apr 22 17:30:44 2023	1682202644	69	14500	14569	4901
Sat Apr 22 17:30:38 2023	1682202638	211	14476	14687	4542
Sat Apr 22 17:30:16 2023	1682202616	129	14651	14779	6087
Sat Apr 22 17:30:48 2023	1682202648	394	14399	14793	5038
Sat Apr 22 17:30:52 2023	1682202652	63	14789	14851	11586
Sat Apr 22 17:30:52 2023	1682202652	65	14791	14857	11520
Sat Apr 22 17:30:44 2023	1682202644	72	14839	14911	8738
Sat Apr 22 17:30:53 2023	1682202653	63	14942	15005	1494
Sat Apr 22 17:31:04 2023	1682202664	68	15050	15118	10322
Sat Apr 22 17:30:53 2023	1682202653	59	15064	15122	10767
Sat Apr 22 17:30:31 2023	1682202631	77	15052	15129	7992
Sat Apr 22 17:30:23 2023	1682202623	79	15139	15218	10938
Sat Apr 22 17:30:43 2023	1682202643	677	14585	15262	5047
Sat Apr 22 17:30:16 2023	1682202616	302	15057	15359	6499
Sat Apr 22 17:30:23 2023	1682202623	59	15385	15444	10744
Sat Apr 22 17:30:53 2023	1682202653	67	15494	15561	10772
Sat Apr 22 17:31:01 2023	1682202661	220	15394	15613	12253
Sat Apr 22 17:30:51 2023	1682202651	142	15477	15619	12380
Sat Apr 22 17:30:48 2023	1682202648	55	15692	15747	6980
Sat Apr 22 17:30:50 2023	1682202650	62	15685	15747	12674
Sat Apr 22 17:30:53 2023	1682202653	97	15692	15788	11033
Sat Apr 22 17:30:15 2023	1682202615	95	15723	15818	7130
Sat Apr 22 17:30:37 2023	1682202637	70	15761	15831	3944
Sat Apr 22 17:30:16 2023	1682202616	376	15485	15860	6490
Sat Apr 22 17:30:37 2023	1682202637	77	15881	15959	6956
Sat Apr 22 17:30:25 2023	1682202625	433	15534	15967	10317
Sat Apr 22 17:30:23 2023	1682202623	69	15988	16057	11049
Sat Apr 22 17:30:42 2023	1682202642	65	16051	16116	6576
Sat Apr 22 17:30:55 2023	1682202655	1914	14210	16124	8426
Sat Apr 22 17:30:48 2023	1682202648	60	16178	16238	10196
Sat Apr 22 17:30:19 2023	1682202619	80	16302	16382	10784
Sat Apr 22 17:30:18 2023	1682202618	85	16337	16422	9684
Sat Apr 22 17:30:25 2023	1682202625	71	16459	16530	11871
Sat Apr 22 17:30:49 2023	1682202649	130	16424	16554	12421
Sat Apr 22 17:30:47 2023	1682202647	95	16475	16569	10271
Sat Apr 22 17:30:48 2023	1682202648	69	16629	16698	10901
Sat Apr 22 17:30:25 2023	1682202625	80	16655	16735	12142
Sat Apr 22 17:30:54 2023	1682202654	68	16736	16804	11076
Sat Apr 22 17:30:36 2023	1682202636	55	16816	16871	8001
Sat Apr 22 17:30:24 2023	1682202624	186	16699	16884	11841
Sat Apr 22 17:30:48 2023	1682202648	56	17102	17158	13423
Sat Apr 22 17:30:15 2023	1682202615	233	17024	17256	8237
Sat Apr 22 17:30:36 2023	1682202636	82	17230	17312	5344
Sat Apr 22 17:30:48 2023	1682202648	69	17270	17339	11773
Sat Apr 22 17:30:36 2023	1682202636	82	17372	17454	6791
Sat Apr 22 17:30:14 2023	1682202614	64	17455	17519	8741
Sat Apr 22 17:30:31 2023	1682202631	69	17483	17552	11179
Sat Apr 22 17:30:22 2023	1682202622	61	17494	17555	12795
Sat Apr 22 17:31:00 2023	1682202660	137	18035	18172	13731
Sat Apr 22 17:30:34 2023	1682202634	75	18350	18425	6382
Sat Apr 22 17:30:47 2023	1682202647	82	18767	18849	15938
Sat Apr 22 17:30:22 2023	1682202622	59	18797	18856	13662
Sat Apr 22 17:30:47 2023	1682202647	59	18824	18883	15876
Sat Apr 22 17:30:44 2023	1682202644	195	18789	18984	9088
Sat Apr 22 17:30:49 2023	1682202649	150	19290	19440	14471
Sat Apr 22 17:30:45 2023	1682202645	149	19346	19496	13360
Sat Apr 22 17:30:33 2023	1682202633	523	19416	19939	8845
Sat Apr 22 17:30:37 2023	1682202637	78	19874	19952	10189
Sat Apr 22 17:30:51 2023	1682202651	90	19975	20065	16923
Sat Apr 22 17:30:38 2023	1682202638	72	20086	20158	9950
Sat Apr 22 17:30:18 2023	1682202618	64	20514	20578	15946
Sat Apr 22 17:30:55 2023	1682202655	154	20573	20726	16866
Sat Apr 22 17:30:26 2023	1682202626	158	20820	20978	13784
Sat Apr 22 17:30:51 2023	1682202651	60	20992	21051	16513
Sat Apr 22 17:30:53 2023	1682202653	66	21087	21153	10548
Sat Apr 22 17:30:49 2023	1682202649	76	22244	22320	16493
Sat Apr 22 17:30:49 2023	1682202649	83	22239	22322	16409
Sat Apr 22 17:30:22 2023	1682202622	65	22277	22342	9467
Sat Apr 22 17:30:48 2023	1682202648	63	22702	22764	17141
Sat Apr 22 17:30:49 2023	1682202649	99	24006	24105	18996
Sat Apr 22 17:30:36 2023	1682202636	82	25379	25461	17085
Sat Apr 22 17:30:53 2023	1682202653	56	27080	27136	1926
