starttime	seconds	ctime	dtime	ttime	wait
Sat Apr 22 17:30:15 2023	1682202615	56	7859	7914	643
Sat Apr 22 17:30:15 2023	1682202615	61	7857	7918	701
Sat Apr 22 17:30:32 2023	1682202632	104	7827	7931	3053
Sat Apr 22 17:30:40 2023	1682202640	64	7877	7941	617
Sat Apr 22 17:30:32 2023	1682202632	82	7863	7945	2947
Sat Apr 22 17:30:04 2023	1682202604	61	7885	7946	2672
Sat Apr 22 17:31:18 2023	1682202678	60	7887	7947	2478
Sat Apr 22 17:30:13 2023	1682202613	66	7884	7950	650
Sat Apr 22 17:30:13 2023	1682202613	63	7891	7954	717
Sat Apr 22 17:31:04 2023	1682202664	84	7880	7964	1686
Sat Apr 22 17:30:41 2023	1682202641	67	7907	7974	570
Sat Apr 22 17:31:14 2023	1682202674	78	7896	7974	2241
Sat Apr 22 17:30:14 2023	1682202614	59	7920	7979	549
Sat Apr 22 17:30:52 2023	1682202652	107	7879	7986	671
Sat Apr 22 17:30:30 2023	1682202630	69	7926	7995	2394
Sat Apr 22 17:30:31 2023	1682202631	62	7938	8000	3171
Sat Apr 22 17:30:31 2023	1682202631	64	7937	8001	3106
Sat Apr 22 17:30:14 2023	1682202614	78	7924	8002	831
Sat Apr 22 17:31:21 2023	1682202681	61	7948	8009	2737
Sat Apr 22 17:30:02 2023	1682202602	54	7958	8012	5060
Sat Apr 22 17:30:35 2023	1682202635	62	7960	8022	2207
Sat Apr 22 17:30:15 2023	1682202615	65	7962	8027	865
Sat Apr 22 17:30:01 2023	1682202601	69	7958	8027	5675
Sat Apr 22 17:30:39 2023	1682202639	185	7844	8029	589
Sat Apr 22 17:30:10 2023	1682202610	115	7916	8031	663
Sat Apr 22 17:30:10 2023	1682202610	61	7977	8038	825
Sat Apr 22 17:30:51 2023	1682202651	62	7978	8041	909
Sat Apr 22 17:30:10 2023	1682202610	59	7983	8042	764
Sat Apr 22 17:30:13 2023	1682202613	68	7977	8045	619
Sat Apr 22 17:30:11 2023	1682202611	55	7993	8048	707
Sat Apr 22 17:30:14 2023	1682202614	66	7985	8051	676
Sat Apr 22 17:30:11 2023	1682202611	57	7999	8056	649
Sat Apr 22 17:30:11 2023	1682202611	63	7995	8058	584
Sat Apr 22 17:30:09 2023	1682202609	60	7998	8058	675
Sat Apr 22 17:31:12 2023	1682202672	70	7989	8058	3176
Sat Apr 22 17:30:14 2023	1682202614	72	7991	8063	744
Sat Apr 22 17:30:14 2023	1682202614	80	8003	8083	607
Sat Apr 22 17:30:03 2023	1682202603	59	8029	8088	4201
Sat Apr 22 17:31:08 2023	1682202668	61	8038	8098	4159
Sat Apr 22 17:30:31 2023	1682202631	61	8039	8100	3587
Sat Apr 22 17:31:14 2023	1682202674	69	8035	8105	2952
Sat Apr 22 17:30:10 2023	1682202610	59	8050	8109	959
